"Field Name","Compare Value","Expected Value","Match Result"
"ask.0.symbol",,"BHP","❌"
"ask.0.exchange",,"CXA","❌"
"ask.0.side",,"Ask","❌"
"ask.0.quantity",,5784,"❌"
"ask.0.number_of_trades",,94,"❌"
"ask.0.price",,34.32,"❌"
"ask.0.source",,"CXA","❌"
"ask.0.timestamp",,1744167855430000,"❌"
"ask.1.symbol",,"BHP","❌"
"ask.1.exchange",,"CXA","❌"
"ask.1.side",,"Ask","❌"
"ask.1.quantity",,13093,"❌"
"ask.1.number_of_trades",,141,"❌"
"ask.1.price",,34.33,"❌"
"ask.1.source",,"CXA","❌"
"ask.1.timestamp",,1744167840593000,"❌"
"ask.2.symbol",,"BHP","❌"
"ask.2.exchange",,"CXA","❌"
"ask.2.side",,"Ask","❌"
"ask.2.quantity",,14782,"❌"
"ask.2.number_of_trades",,257,"❌"
"ask.2.price",,34.34,"❌"
"ask.2.source",,"CXA","❌"
"ask.2.timestamp",,1744167843976000,"❌"
"ask.3.symbol",,"BHP","❌"
"ask.3.exchange",,"CXA","❌"
"ask.3.side",,"Ask","❌"
"ask.3.quantity",,17890,"❌"
"ask.3.number_of_trades",,230,"❌"
"ask.3.price",,34.35,"❌"
"ask.3.source",,"CXA","❌"
"ask.3.timestamp",,1744167817631000,"❌"
"ask.4.symbol",,"BHP","❌"
"ask.4.exchange",,"CXA","❌"
"ask.4.side",,"Ask","❌"
"ask.4.quantity",,17402,"❌"
"ask.4.number_of_trades",,157,"❌"
"ask.4.price",,34.36,"❌"
"ask.4.source",,"CXA","❌"
"ask.4.timestamp",,1744167807573000,"❌"
"ask.5.symbol",,"BHP","❌"
"ask.5.exchange",,"CXA","❌"
"ask.5.side",,"Ask","❌"
"ask.5.quantity",,9883,"❌"
"ask.5.number_of_trades",,140,"❌"
"ask.5.price",,34.37,"❌"
"ask.5.source",,"CXA","❌"
"ask.5.timestamp",,1744167848549000,"❌"
"ask.6.symbol",,"BHP","❌"
"ask.6.exchange",,"CXA","❌"
"ask.6.side",,"Ask","❌"
"ask.6.quantity",,9693,"❌"
"ask.6.number_of_trades",,109,"❌"
"ask.6.price",,34.38,"❌"
"ask.6.source",,"CXA","❌"
"ask.6.timestamp",,1744167805884000,"❌"
"ask.7.symbol",,"BHP","❌"
"ask.7.exchange",,"CXA","❌"
"ask.7.side",,"Ask","❌"
"ask.7.quantity",,8976,"❌"
"ask.7.number_of_trades",,116,"❌"
"ask.7.price",,34.39,"❌"
"ask.7.source",,"CXA","❌"
"ask.7.timestamp",,1744167817631000,"❌"
"ask.8.symbol",,"BHP","❌"
"ask.8.exchange",,"CXA","❌"
"ask.8.side",,"Ask","❌"
"ask.8.quantity",,11672,"❌"
"ask.8.number_of_trades",,96,"❌"
"ask.8.price",,34.4,"❌"
"ask.8.source",,"CXA","❌"
"ask.8.timestamp",,1744167807573000,"❌"
"bid.0.symbol",,"BHP","❌"
"bid.0.exchange",,"CXA","❌"
"bid.0.side",,"Bid","❌"
"bid.0.quantity",,7108,"❌"
"bid.0.number_of_trades",,131,"❌"
"bid.0.price",,34.3,"❌"
"bid.0.source",,"CXA","❌"
"bid.0.timestamp",,1744167848930000,"❌"
"bid.1.symbol",,"BHP","❌"
"bid.1.exchange",,"CXA","❌"
"bid.1.side",,"Bid","❌"
"bid.1.quantity",,6736,"❌"
"bid.1.number_of_trades",,80,"❌"
"bid.1.price",,34.29,"❌"
"bid.1.source",,"CXA","❌"
"bid.1.timestamp",,1744167854836000,"❌"
"bid.2.symbol",,"BHP","❌"
"bid.2.exchange",,"CXA","❌"
"bid.2.side",,"Bid","❌"
"bid.2.quantity",,6028,"❌"
"bid.2.number_of_trades",,101,"❌"
"bid.2.price",,34.28,"❌"
"bid.2.source",,"CXA","❌"
"bid.2.timestamp",,1744167805562000,"❌"
"bid.3.symbol",,"BHP","❌"
"bid.3.exchange",,"CXA","❌"
"bid.3.side",,"Bid","❌"
"bid.3.quantity",,7896,"❌"
"bid.3.number_of_trades",,99,"❌"
"bid.3.price",,34.27,"❌"
"bid.3.source",,"CXA","❌"
"bid.3.timestamp",,1744167792721000,"❌"
"bid.4.symbol",,"BHP","❌"
"bid.4.exchange",,"CXA","❌"
"bid.4.side",,"Bid","❌"
"bid.4.quantity",,9265,"❌"
"bid.4.number_of_trades",,112,"❌"
"bid.4.price",,34.26,"❌"
"bid.4.source",,"CXA","❌"
"bid.4.timestamp",,1744167792610000,"❌"
"bid.5.symbol",,"BHP","❌"
"bid.5.exchange",,"CXA","❌"
"bid.5.side",,"Bid","❌"
"bid.5.quantity",,7831,"❌"
"bid.5.number_of_trades",,137,"❌"
"bid.5.price",,34.25,"❌"
"bid.5.source",,"CXA","❌"
"bid.5.timestamp",,1744167802560000,"❌"
"bid.6.symbol",,"BHP","❌"
"bid.6.exchange",,"CXA","❌"
"bid.6.side",,"Bid","❌"
"bid.6.quantity",,4142,"❌"
"bid.6.number_of_trades",,74,"❌"
"bid.6.price",,34.24,"❌"
"bid.6.source",,"CXA","❌"
"bid.6.timestamp",,1744167804858000,"❌"
"bid.7.symbol",,"BHP","❌"
"bid.7.exchange",,"CXA","❌"
"bid.7.side",,"Bid","❌"
"bid.7.quantity",,4846,"❌"
"bid.7.number_of_trades",,60,"❌"
"bid.7.price",,34.23,"❌"
"bid.7.source",,"CXA","❌"
"bid.7.timestamp",,1744167804859000,"❌"
"bid.8.symbol",,"BHP","❌"
"bid.8.exchange",,"CXA","❌"
"bid.8.side",,"Bid","❌"
"bid.8.quantity",,4877,"❌"
"bid.8.number_of_trades",,60,"❌"
"bid.8.price",,34.22,"❌"
"bid.8.source",,"CXA","❌"
"bid.8.timestamp",,1744167802676000,"❌"
"bid.9.symbol",,"BHP","❌"
"bid.9.exchange",,"CXA","❌"
"bid.9.side",,"Bid","❌"
"bid.9.quantity",,6963,"❌"
"bid.9.number_of_trades",,56,"❌"
"bid.9.price",,34.21,"❌"
"bid.9.source",,"CXA","❌"
"bid.9.timestamp",,1744167807588000,"❌"
"total_ask_size",,109175,"❌"
"total_bid_size",,65692,"❌"
